name,RA,DEC,pmax,S,Priority,z,zType,zSource,zCluster,zCluster_err,zCluster_delta,zZazn,zZazn_err,zZazn_sig1,zZazn_sig2,M500,e_M500,E_M500,mSource,Mact,e_Mact,E_Mact,Mplanck,e_Mplanck,E_Mplanck
ComPACT_G227.065+37.945,142.56667,6.25833,0.9999589920043944,47,1,1.295,phot,ACTDR5,1.22,0.2213337098447587,7.681737261596606,,,,,6.27306442740827,1.0145646270284063,0.8733195973035981,ACTDR6,3.3084196379024338,3.7056959345228457,2.408846576064112,3.1718499642521483,3.169832372929705,1.867277132176235
ComPACT_G241.788-24.030,91.45,-35.30833,0.9968165755271912,80,1,0.139,spec,PSZ2,0.49,0.1485528052561669,5.837211425771,0.1536,0.0372401018137324,0.999,0.86,5.590000152587891,0.2000000029802322,0.2199999988079071,PSZ2,5.296868335002061,0.3959387284809037,0.3760803636726437,5.638951944914205,0.2747605818119375,0.264566868832355
ComPACT_G311.472+70.952,195.66667,8.26667,0.906767725944519,66,1,0.092,phot,CODEX,0.65,0.1645047843440774,1.074875058386887,,,,,1.086184405381906,0.215414737035165,0.185869744948227,yplanck,,,,1.086184405381906,0.215414737035165,0.185869744948227
ComPACT_G229.021-30.733,80.11667,-26.425,0.9951868653297424,36,1,0.279,phot,PSZ-MCMF,0.27,0.1266188340102899,10.18950707438248,0.2831,0.0414205744081138,0.998,0.983,5.268581297359459,4.557822089006714,5.931723221029632,PSZ-MCMF,4.1246190146929065,0.8670464901716082,0.7538395333439725,4.1112789887289765,0.5892592387576362,0.528904945235355
ComPACT_G204.571-74.856,29.29167,-23.975,0.8661168217658997,37,1,0.202,phot,PSZ-MCMF,0.19,0.1186428444663346,1.2859450843031015,0.2095,0.0390446455822724,0.999,0.957,3.368485362475785,2.6472287698127333,4.016836633851356,PSZ-MCMF,2.247023180613505,2.5424763909066463,1.4298599687872398,2.8047381615233875,0.6413835826678166,0.5416585895819581
ComPACT_G256.842-46.030,62.775,-49.175,0.9881023168563844,47,1,0.323,phot,ACTDR6,0.33,0.1326008261682564,7.025146239949349,0.332,0.0429991466850655,1.0,0.997,2.599809307044158,0.6657035283918225,0.5299940058616022,ACTDR6,,,,1.976570801270216,1.0249236394627603,0.7079201518871809
ComPACT_G207.930-36.469,67.85833,-12.04167,0.997484803199768,36,1,0.741,phot,ACTDR6,0.7000000000000001,0.1694897778090495,3.0824141357515904,0.7158,0.055388840752429,1.0,0.996,7.353373889555423,1.3201148577016713,1.119191874078035,ACTDR6,5.664839745079877,1.5199342990699924,1.2742398579841687,4.783128737991965,1.433068666129355,1.1517233769419897
ComPACT_G234.055-30.755,81.475,-30.58333,0.9978705644607544,49,1,0.199,spec,SPTECS,0.18,0.1176458457733402,5.121225093833154,0.2062,0.0389381161648094,0.999,0.986,4.309999942779541,0.3600000143051147,0.3700000047683716,PSZ2,5.258570786498413,0.6511719416374963,0.59968354737429,5.289663203338601,0.5609907027966882,0.5174485404078225
ComPACT_G185.202-53.643,44.775,-6.99167,0.9996886253356934,72,1,0.421,spec,ACT-MCMF,0.42,0.141573814405206,17.933507737928736,0.4252,0.0460077956873539,1.0,0.994,6.340000152587891,0.7200000286102295,0.7799999713897705,PSZ2,4.3592596711674165,1.6690930790515437,1.304047334650532,5.14741859635904,0.7869605750940456,0.7014875209316056
ComPACT_G49.811-25.198,312.8,2.275,0.9980303645133972,53,1,0.321,spec,ACTDR6,0.34,0.1335978248612508,8.315412381095946,0.3273,0.0428474229692849,0.997,0.943,6.389999866485596,0.4900000095367431,0.5799999833106995,PSZ2,7.976145610685646,0.8944500340292088,0.8286663124596313,7.147939732391998,0.7183685701966388,0.6653367685623288
ComPACT_G229.131+31.763,138.09167,1.65833,0.978501796722412,34,1,,,,0.63,0.1625107869580886,2.396432185651095,,,,,,,,,,,,,,
ComPACT_G357.435+69.490,209.975,14.24167,0.9998072981834412,80,1,0.212,spec,ACTDR6,0.21,0.1206368418523234,4.070943561140868,0.2211,0.0394191126254756,0.998,0.964,5.659999847412109,0.3499999940395355,0.4099999964237213,PSZ2,7.122032424053945,0.3825696518954688,0.3685948902592212,6.708407550932146,0.9513908198100623,0.8548796034735312
ComPACT_G182.442-28.290,63.35833,10.45833,0.997960329055786,91,1,0.086,spec,RASS-MCMF,,,,,,,,6.949999809265137,0.2800000011920929,0.2800000011920929,PSZ2,,,,6.89352040600936,0.3687216035721063,0.3537562908520537
ComPACT_G48.279-51.618,335.08333,-12.19167,0.99977046251297,70,1,0.53,spec,PSZ2,0.56,0.1555317961071278,5.364968229919263,0.543,0.0498105730743665,1.0,0.996,7.269999980926514,0.6100000143051147,0.6600000262260437,PSZ2,7.064046987098209,1.6382764322405374,1.40571631045962,6.412612772743145,1.4089649472904806,1.19743604767624
ComPACT_G222.879+66.021,167.51667,20.74167,0.8599751591682434,23,3,0.134,spec,REDMAPPER-DES-SDSS,0.12,0.1116638536153738,0.2185249388884935,0.1341,0.0366106098014511,0.987,0.967,0.77991812,,,GALWEIGHT,,,,2.9397575408251124,0.5242223326406056,0.45881925957216
ComPACT_G159.935-38.778,42.00833,15.575,0.990841507911682,36,1,,,,0.73,0.1724807738880327,1.4544956317182782,,,,,,,,,,,,,,
ComPACT_G216.038+28.523,129.84167,10.1,0.9723842144012452,25,3,0.31,spec,ACT-MCMF,0.31,0.1306068287822676,7.017563884405307,0.3057,0.0421501395095271,0.996,0.985,3.200740941471535,0.7507380378690662,0.6081059741657722,ACTDR6,3.984978670122533,1.4809093389291377,1.1658114574461744,4.460327069511789,1.4602651260402677,1.1512012948541557
ComPACT_G230.318+25.796,133.55,-2.35,0.9998565912246704,70,1,0.368,spec,ACTDR5,0.38,0.1375858196332284,13.46359865352697,0.3751,0.0443904854404156,0.998,0.969,4.413310428721062,0.9233888024852394,0.7636183444520643,ACTDR6,4.568970047825389,1.342457134292468,1.1084755193290312,4.603736899902132,1.513298266014704,1.191919969510323
ComPACT_G101.102-80.807,9.26667,-18.55,0.9829913973808287,28,2,0.96,phot,zCluster,0.96,0.1954117438269041,6.149781428689789,,,,,,,,,,,,,,
ComPACT_G13.231+39.812,239.29167,3.525,0.9367323517799376,28,2,,,,0.31,0.1306068287822676,2.675868939420512,,,,,,,,,,,,,,
ComPACT_G250.880-36.264,77.575,-45.31667,0.9941229224205016,62,1,0.2,spec,ACT-MCMF,0.21,0.1206368418523234,6.416410012311149,0.221,0.0394158844613101,0.999,0.986,5.739999771118164,0.2899999916553497,0.3000000119209289,PSZ2,7.3773051847907665,0.45224162688917,0.4339873434009375,7.7572956658374,0.3950562754246875,0.37976167251831
ComPACT_G225.970-26.295,83.78333,-22.45833,0.9364517331123352,64,1,,,,0.15,0.114654849694357,0.2685445531834085,,,,,,,,,,,,,,
ComPACT_G337.153-26.008,288.66667,-59.46667,0.9931252002716064,76,1,0.264,spec,ACTDR5,,,,,,,,6.579999923706055,0.4699999988079071,0.5099999904632568,PSZ2,7.570762406283846,1.1126996481714488,1.00916248997732,8.162853785964838,0.6810439132711925,0.6388231487837
ComPACT_G229.685-20.067,91.425,-23.41667,0.9753329753875732,26,2,,,,,,,,,,,,,,,,,,,,
ComPACT_G87.026-81.424,7.51667,-20.08333,0.9839888215065002,41,1,0.247,phot,ACTDR6,0.21,0.1206368418523234,7.900586567483526,,,,,4.309999942779541,0.5099999904632568,0.5600000023841858,PSZ2,4.30178923221976,0.9699937344959932,0.8352045180404931,4.385363159300654,0.8666121514239806,0.7481290283582444
ComPACT_G200.216-26.844,73.40833,-1.78333,0.9611364006996156,31,1,,,,0.42,0.141573814405206,0.617272496130626,,,,,,,,,,,,,,
ComPACT_G356.246-31.348,301.45,-43.73333,0.9084182977676392,43,1,0.255,phot,ACT-MCMF,,,,,,,,3.7779632217278136,0.92495294021217,0.74303646282929,ACTDR6,2.811709121571216,1.3871864065236372,1.0115337185910789,3.407223443779069,0.8176459532973703,0.6850509054118794
ComPACT_G238.913-36.839,75.40833,-35.83333,0.8707482814788818,26,2,0.187,phot,PSZ-MCMF,0.17,0.1166488470803458,3.4629502057594914,0.1996,0.0387250573298834,0.999,0.956,3.7406028721093953,3.1663658297594823,4.272162717971554,PSZ-MCMF,1.622701229247596,1.81703143815326,0.9525515086235178,2.57672426513193,0.682552551207425,0.5619725649477975
ComPACT_G21.044-29.037,305.1,-22.43333,0.9997279047966005,71,1,0.3,spec,LP15,,,,,,,,4.909999847412109,0.5899999737739563,0.6200000047683716,PSZ2,3.4327065290438026,1.134212842762972,0.9157858654981538,4.253543591985029,0.9526175757843476,0.8071813246642088
ComPACT_G19.551+20.326,258.75833,-1.99167,0.9855948686599731,25,3,,,,,,,,,,,,,,,,,,,,
ComPACT_G313.644+68.072,196.85833,5.53333,0.9837130308151244,33,1,,,,0.19,0.1186428444663346,0.4543969804584018,,,,,,,,,,,,,,
