Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2,Priority
ComPACT_G227.06537.945,142.56667,6.25833,47,0.9999589920043944,SZ_G227.07+37.95,ACT-CL J0930.2+0615,,1
ComPACT_G241.788-24.030,91.45,-35.30833,80,0.9968165755271912,SZ_G241.79-24.03,ACT-CL J0605.7-3518,PSZ2 G241.79-24.01,1
ComPACT_G311.47270.952,195.66667,8.26667,66,0.906767725944519,SZ_G311.48+70.95,,,1
ComPACT_G229.021-30.733,80.11667,-26.425,36,0.9951868653297424,SZ_G229.02-30.73,ACT-CL J0520.4-2625,,1
ComPACT_G204.571-74.856,29.29167,-23.975,37,0.8661168217658997,SZ_G204.58-74.86,,,1
ComPACT_G256.842-46.030,62.775,-49.175,47,0.9881023168563844,SZ_G256.85-46.03,,,1
ComPACT_G207.930-36.469,67.85833,-12.04167,36,0.997484803199768,SZ_G207.93-36.47,ACT-CL J0431.3-1202,,1
ComPACT_G234.055-30.755,81.475,-30.58333,49,0.9978705644607544,SZ_G234.05-30.76,ACT-CL J0525.8-3035,PSZ2 G234.06-30.74,1
ComPACT_G185.202-53.643,44.775,-6.99167,72,0.9996886253356934,SZ_G185.20-53.64,ACT-CL J0259.0-0659,PSZ2 G185.16-53.63,1
ComPACT_G49.811-25.198,312.8,2.275,53,0.9980303645133972,SZ_G049.81-25.20,ACT-CL J2051.1+0215,PSZ2 G049.80-25.16,1
ComPACT_G229.13131.763,138.09167,1.65833,34,0.978501796722412,SZ_G229.13+31.76,,,1
ComPACT_G357.43569.490,209.975,14.24167,80,0.9998072981834412,SZ_G357.43+69.49,ACT-CL J1359.8+1414,PSZ2 G357.43+69.50,1
ComPACT_G182.442-28.290,63.35833,10.45833,91,0.997960329055786,SZ_G182.44-28.29,,PSZ2 G182.42-28.28,1
ComPACT_G48.279-51.618,335.08333,-12.19167,70,0.99977046251297,SZ_G048.27-51.62,ACT-CL J2220.2-1211,PSZ2 G048.24-51.59,1
ComPACT_G222.87966.021,167.51667,20.74167,23,0.8599751591682434,SZ_G222.88+66.02,,,3
ComPACT_G159.935-38.778,42.00833,15.575,36,0.990841507911682,SZ_G159.94-38.78,,,1
ComPACT_G216.03828.523,129.84167,10.1,25,0.9723842144012452,SZ_G216.04+28.52,ACT-CL J0839.3+1005,,3
ComPACT_G230.31825.796,133.55,-2.35,70,0.9998565912246704,SZ_G230.32+25.80,ACT-CL J0854.2-0220,,1
ComPACT_G101.102-80.807,9.26667,-18.55,28,0.9829913973808287,SZ_G101.08-80.81,,,2
ComPACT_G13.23139.812,239.29167,3.525,28,0.9367323517799376,SZ_G013.23+39.81,,,2
ComPACT_G250.880-36.264,77.575,-45.31667,62,0.9941229224205016,SZ_G250.88-36.26,ACT-CL J0510.3-4519,PSZ2 G250.89-36.24,1
ComPACT_G225.970-26.295,83.78333,-22.45833,64,0.9364517331123352,SZ_G225.97-26.30,,,1
ComPACT_G337.153-26.008,288.66667,-59.46667,76,0.9931252002716064,SZ_G337.15-26.01,ACT-CL J1914.6-5928,PSZ2 G337.14-25.98,1
ComPACT_G229.685-20.067,91.425,-23.41667,26,0.9753329753875732,SZ_G229.68-20.07,,,2
ComPACT_G87.026-81.424,7.51667,-20.08333,41,0.9839888215065002,SZ_G087.00-81.43,ACT-CL J0030.0-2004,PSZ2 G086.85-81.39,1
ComPACT_G200.216-26.844,73.40833,-1.78333,31,0.9611364006996156,SZ_G200.21-26.84,,,1
ComPACT_G356.246-31.348,301.45,-43.73333,43,0.9084182977676392,SZ_G356.24-31.34,,,1
ComPACT_G238.913-36.839,75.40833,-35.83333,26,0.8707482814788818,SZ_G238.91-36.84,,,2
ComPACT_G21.044-29.037,305.1,-22.43333,71,0.9997279047966005,SZ_G021.05-29.04,ACT-CL J2020.3-2226,PSZ2 G021.02-29.04,1
ComPACT_G19.55120.326,258.75833,-1.99167,25,0.9855948686599731,SZ_G019.56+20.32,,,3
ComPACT_G313.64468.072,196.85833,5.53333,33,0.9837130308151244,SZ_G313.63+68.07,,,1
ComPACT_G145.082-80.903,16.46667,-18.65833,50,0.9989895224571228,SZ_G145.06-80.90,ACT-CL J0105.8-1839,,1
ComPACT_G277.743-51.745,43.58333,-58.95,87,0.9982762336730956,SZ_G277.75-51.74,ACT-CL J0254.3-5857,PSZ2 G277.76-51.74,1
ComPACT_G40.813-60.650,341.80833,-19.73333,40,0.9659994840621948,SZ_G040.82-60.65,,,1
ComPACT_G0.561-47.455,323.525,-41.15833,51,0.9977133274078368,SZ_G000.57-47.46,ACT-CL J2134.0-4109,,1
ComPACT_G44.605-20.478,306.3,0.525,63,0.9988069534301758,SZ_G044.60-20.48,ACT-CL J2025.2+0031,PSZ2 G044.58-20.46,1
ComPACT_G61.476-54.126,341.625,-6.90833,41,0.9966088533401488,SZ_G061.49-54.12,ACT-CL J2246.4-0653,,1
ComPACT_G53.801-63.031,346.80833,-15.225,40,0.9908531308174132,SZ_G053.81-63.03,,,1
ComPACT_G80.391-33.241,336.525,17.36667,65,0.9973838925361632,SZ_G080.40-33.24,ACT-CL J2226.0+1722,PSZ2 G080.41-33.24,1
