Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2
ComPACT_G127.352-50.991,15.7,11.78333,25,0.9506176710128784,SZ_G127.43-50.94,,
ComPACT_G9.35674.930,207.58333,20.35,23,0.9593599438667296,SZ_G009.20+74.88,,
ComPACT_G309.57861.508,196.025,-1.2,24,0.9289675951004028,SZ_G309.53+61.50,,
ComPACT_G229.912-69.226,36.23333,-31.23333,22,0.9126712679862976,SZ_G229.88-69.26,,
ComPACT_G8.293-75.009,356.68333,-32.44167,36,0.9227193593978882,SZ_G008.60-75.02,,
ComPACT_G22.309-57.138,335.63333,-28.16667,32,0.990799069404602,SZ_G022.34-57.21,,
ComPACT_G102.179-58.674,2.23333,2.475,36,0.8823339939117432,SZ_G102.25-58.66,,
ComPACT_G24.884-44.819,322.50833,-24.19167,26,0.985484778881073,SZ_G024.78-44.82,,
ComPACT_G186.198-56.589,42.74167,-9.21667,22,0.9649459719657898,SZ_G186.08-56.54,,
ComPACT_G201.484-60.368,43.49167,-18.0,30,0.9510229229927064,SZ_G201.38-60.39,,
ComPACT_G155.973-60.550,28.41667,-1.73333,71,0.999392867088318,SZ_G156.12-60.53,ACT-CL J0153.6-0144,
ComPACT_G210.907-39.358,66.11667,-15.35833,23,0.9514999389648438,SZ_G210.98-39.38,,
ComPACT_G191.076-61.960,39.61667,-14.28333,40,0.9971725344657898,SZ_G191.16-61.99,ACT-CL J0238.4-1417,
ComPACT_G36.033-51.216,331.45,-18.98333,29,0.9743508100509644,SZ_G036.03-51.23,,
ComPACT_G251.205-40.080,72.14167,-45.675,27,0.9770867228507996,SZ_G251.26-40.13,,
ComPACT_G335.990-24.040,284.41667,-60.10833,21,0.992833137512207,SZ_G335.92-24.03,,
ComPACT_G342.89275.568,202.43333,15.75833,40,0.9584853053092957,SZ_G342.93+75.57,,
ComPACT_G246.81048.143,159.21667,0.49167,24,0.9795936346054076,SZ_G246.78+48.12,,
ComPACT_G212.63826.893,127.04167,12.14167,39,0.965691328048706,SZ_G212.61+26.92,,
ComPACT_G223.47643.821,146.5,11.43333,53,0.9329237937927246,SZ_G223.56+43.80,,
ComPACT_G218.183-48.325,58.96667,-23.25,26,0.9753115773200988,SZ_G218.17-48.29,,
ComPACT_G256.61251.873,166.33333,-1.19167,27,0.9875182509422302,SZ_G256.50+51.91,,
ComPACT_G71.939-46.306,340.33333,3.28333,23,0.923638105392456,SZ_G071.98-46.35,,
ComPACT_G232.598-71.953,32.925,-31.75833,23,0.9624543786048888,SZ_G232.78-71.95,,
ComPACT_G236.16133.677,142.925,-2.25,25,0.925856113433838,SZ_G236.18+33.60,,
ComPACT_G345.36075.515,202.975,16.09167,24,0.9225894808769226,SZ_G345.33+75.46,ACT-CL J1331.8+1605,
ComPACT_G275.966-64.476,30.14167,-48.875,61,0.9981260895729064,SZ_G275.96-64.46,ACT-CL J0200.5-4852,
ComPACT_G229.693-19.980,91.51667,-23.39167,21,0.8824925422668457,SZ_G229.77-19.95,,
ComPACT_G253.30647.768,162.01667,-2.85833,23,0.9686773419380188,SZ_G253.33+47.80,,
ComPACT_G168.317-53.793,37.725,0.075,24,0.9015790820121764,SZ_G168.29-53.86,,
ComPACT_G39.78517.099,270.4,13.625,36,0.9873045086860656,SZ_G039.77+17.06,,
ComPACT_G158.150-73.945,22.30833,-13.71667,46,0.9987930059432985,SZ_G157.95-73.96,ACT-CL J0129.2-1343,
ComPACT_G99.103-46.878,356.4,12.925,50,0.9544019103050232,SZ_G099.10-46.87,,
ComPACT_G147.654-59.812,25.0,0.70833,35,0.9719218611717224,SZ_G147.69-59.77,,
ComPACT_G95.134-53.874,356.825,5.5,34,0.959257185459137,SZ_G095.11-53.81,,
ComPACT_G28.93239.819,245.05833,14.14167,28,0.9203091859817504,SZ_G028.92+39.81,,
ComPACT_G143.002-51.390,25.4,9.51667,27,0.8888565897941589,SZ_G143.02-51.45,,
ComPACT_G15.16327.057,250.91667,-1.975,32,0.9828500151634216,SZ_G015.23+27.07,,
ComPACT_G16.223-57.900,336.21667,-31.48333,33,0.971498429775238,SZ_G016.11-57.88,,
ComPACT_G23.544-51.416,329.4,-26.55,30,0.9677926301956176,SZ_G023.52-51.38,,
ComPACT_G251.62459.495,169.36667,6.34167,34,0.9950656294822692,SZ_G251.78+59.46,,
ComPACT_G109.613-57.780,5.78333,4.35833,43,0.9984022974967957,SZ_G109.57-57.80,ACT-CL J0023.1+0421,
ComPACT_G233.92839.702,146.88333,2.63333,25,0.8764128088951111,SZ_G233.88+39.72,,
ComPACT_G18.685-18.434,293.63333,-20.60833,22,0.9401960968971252,SZ_G018.65-18.49,,
ComPACT_G247.64751.496,162.05,2.36667,21,0.9576963782310486,SZ_G247.65+51.52,,
ComPACT_G12.00749.717,230.45833,8.18333,21,0.8288705348968506,SZ_G012.12+49.73,,
ComPACT_G355.96656.796,218.91667,5.075,27,0.9534780979156494,SZ_G356.01+56.83,,
ComPACT_G107.709-55.698,4.3,6.15833,23,0.977194845676422,SZ_G107.62-55.71,,
ComPACT_G68.671-52.228,343.01667,-2.40833,27,0.9875312447547911,SZ_G068.57-52.25,,
ComPACT_G236.34436.812,145.575,-0.56667,48,0.9486446976661682,SZ_G236.40+36.80,,
ComPACT_G165.468-30.312,51.15,19.63333,39,0.993124544620514,SZ_G165.45-30.28,,
ComPACT_G308.92477.057,194.24167,14.25,26,0.8651995658874512,SZ_G309.18+77.09,,
ComPACT_G0.648-16.016,283.66667,-35.64167,29,0.995262861251831,SZ_G000.66-16.00,,
ComPACT_G214.59846.919,146.85,18.38333,22,0.9733988046646118,SZ_G214.68+46.87,,
ComPACT_G232.84729.643,138.0,-2.175,26,0.9858208894729614,SZ_G232.91+29.59,,
ComPACT_G208.350-46.385,58.625,-16.325,40,0.8528927564620972,SZ_G208.40-46.42,,
ComPACT_G243.877-33.537,80.35,-39.3,43,0.9941650032997132,SZ_G243.85-33.58,ACT-CL J0521.3-3917,
ComPACT_G43.389-64.317,345.9,-19.93333,73,0.9932193160057068,SZ_G043.22-64.32,,
ComPACT_G148.666-43.155,32.08333,15.84167,44,0.9628097414970398,SZ_G148.74-43.16,,
ComPACT_G354.18256.027,218.75833,3.83333,26,0.9472824931144714,SZ_G354.13+56.09,,
ComPACT_G310.54170.151,195.45833,7.43333,40,0.9879388809204102,SZ_G310.32+70.14,,
ComPACT_G279.44174.598,186.625,12.875,25,0.9124664664268494,SZ_G279.41+74.56,,
ComPACT_G317.547-83.894,11.025,-33.025,22,0.9371362328529358,SZ_G317.56-83.97,,
ComPACT_G357.82944.262,228.775,-2.76667,35,0.976186752319336,SZ_G357.81+44.25,,
ComPACT_G186.428-17.853,74.15,13.78333,42,0.9979730248451232,SZ_G186.37-17.88,,
ComPACT_G212.115-25.554,79.49167,-10.675,25,0.982452392578125,SZ_G212.10-25.57,,
ComPACT_G307.225-78.743,11.79167,-38.35,45,0.9787968397140504,SZ_G307.38-78.79,,
ComPACT_G9.98454.506,225.71667,9.775,39,0.9355376958847046,SZ_G010.04+54.53,,
ComPACT_G101.436-59.794,2.23333,1.29167,44,0.9962474703788756,SZ_G101.47-59.82,ACT-CL J0008.8+0117,
ComPACT_G32.86542.323,243.81667,17.83333,21,0.8705512285232544,SZ_G032.83+42.34,,
ComPACT_G89.695-74.570,4.21667,-13.975,42,0.993803858757019,SZ_G089.93-74.58,,
ComPACT_G155.269-80.969,17.96667,-19.40833,27,0.9905495047569276,SZ_G155.34-80.94,,
ComPACT_G222.43915.712,121.13333,-1.03333,30,0.9953125715255736,SZ_G222.45+15.69,,
ComPACT_G9.22243.767,234.33333,3.26667,26,0.9428765773773192,SZ_G009.21+43.80,,
ComPACT_G167.635-31.985,51.5,17.15833,29,0.997500479221344,SZ_G167.59-32.00,ACT-CL J0325.9+1709,
ComPACT_G277.683-60.849,32.68333,-52.21667,21,0.959560215473175,SZ_G277.61-60.91,,
ComPACT_G237.00363.322,167.85,14.15,45,0.9929749965667723,SZ_G236.90+63.33,ACT-CL J1111.3+1409,
ComPACT_G347.93961.608,212.61667,5.85,30,0.8869075179100037,SZ_G347.87+61.66,,
ComPACT_G280.90157.888,181.34167,-3.0,28,0.9653321504592896,SZ_G280.99+57.88,,
ComPACT_G172.160-35.779,51.74167,11.825,45,0.996729850769043,SZ_G172.20-35.78,,
ComPACT_G212.21026.637,126.64167,12.38333,27,0.9699364900588988,SZ_G212.15+26.65,,
ComPACT_G348.740-54.101,334.675,-47.15,22,0.9705055952072144,SZ_G348.63-54.08,,
ComPACT_G86.842-65.382,358.55833,-6.6,23,0.9631915092468262,SZ_G086.77-65.32,,
ComPACT_G2.296-18.077,286.725,-34.93333,27,0.8664308786392212,SZ_G002.24-18.03,,
ComPACT_G36.34033.147,253.825,17.075,28,0.9843028783798218,SZ_G036.32+33.20,,
ComPACT_G196.619-31.522,67.78333,-1.45,24,0.932454228401184,SZ_G196.57-31.54,,
ComPACT_G216.05440.240,140.78333,14.925,31,0.9553239345550536,SZ_G216.15+40.23,,
ComPACT_G142.432-56.962,23.375,4.30833,39,0.9686527252197266,SZ_G142.43-57.02,,
ComPACT_G70.747-23.193,322.775,18.78333,50,0.9668452143669128,SZ_G070.69-23.16,,
ComPACT_G308.17673.677,194.35833,10.86667,75,0.9715760350227356,SZ_G308.44+73.66,,
ComPACT_G290.32463.744,187.31667,1.41667,21,0.8400514125823975,SZ_G290.35+63.75,,
ComPACT_G31.21944.791,240.95,17.6,23,0.8164842128753662,SZ_G031.19+44.77,,
ComPACT_G110.756-55.933,6.03333,6.29167,31,0.9960753321647644,SZ_G110.75-55.97,,
ComPACT_G223.738-36.029,73.09167,-23.775,21,0.9578892588615416,SZ_G223.77-36.08,,
ComPACT_G63.910-21.567,317.23333,14.975,31,0.9645254611968994,SZ_G063.94-21.52,,
ComPACT_G111.326-44.320,4.16667,17.76667,28,0.9103334546089172,SZ_G111.31-44.28,,
ComPACT_G307.502-72.987,11.0,-44.075,88,0.9400246739387512,SZ_G307.39-72.92,,
ComPACT_G221.15255.791,157.1,17.79167,30,0.8994754552841187,SZ_G221.10+55.75,,
ComPACT_G329.329-52.801,342.66667,-57.69167,21,0.9158523678779602,SZ_G329.33-52.78,,
ComPACT_G66.398-28.537,324.25833,12.31667,61,0.9158858060836792,SZ_G066.47-28.50,,
